SAMPID,region,sex
GTEX-13QIC-0011-R11b-SM-5O9BU,Cerebellar Hemi.,Female
GTEX-13QIC-0011-R1a-SM-5O9CJ,Hippocampus,Female
GTEX-13QIC-0011-R3a-SM-5P9HT,Ant. Cing. Ctx,Female
GTEX-13QIC-0011-R4a-SM-5PNX8,Amygdala,Female
GTEX-13QIC-0011-R8b-SM-5O9CV,Hypothalamus,Female
GTEX-13QIC-2926-SM-5J2NF,Cortex,Female
GTEX-13QIC-3026-SM-5LU58,Cerebellum,Female
GTEX-13QJC-0011-R10a-SM-5SI63,Frontal Cortex,Female
GTEX-13QJC-0011-R1b-SM-5S2UU,Hippocampus,Female
GTEX-13QJC-0011-R2b-SM-5PNUN,Substantia Nigra,Female
GTEX-13QJC-0011-R6a-SM-5S2VI,Nucleus Accumbens,Female
GTEX-13QJC-0011-R7b-SM-5PNUM,Putamen,Female
GTEX-13QJC-0011-R8b-SM-5S2U6,Hypothalamus,Female
GTEX-13QJC-0011-R9b-SM-5PNX3,Spinal Cord,Female
GTEX-13QJC-3226-SM-5ZZWI,Cortex,Female
GTEX-13RTJ-0011-R10b-SM-5O9CW,Frontal Cortex,Male
GTEX-13RTJ-0011-R11a-SM-5O9CK,Cerebellar Hemi.,Male
GTEX-13RTJ-0011-R1a-SM-5O9D9,Hippocampus,Male
GTEX-13RTJ-0011-R2a-SM-5PNW9,Substantia Nigra,Male
GTEX-13RTJ-0011-R3a-SM-5PNX7,Ant. Cing. Ctx,Male
GTEX-13RTJ-0011-R4b-SM-5PNX1,Amygdala,Male
GTEX-13RTJ-0011-R5a-SM-5P9HR,Caudate,Male
GTEX-13RTJ-0011-R6a-SM-5SI74,Nucleus Accumbens,Male
GTEX-13RTJ-0011-R7b-SM-5P9JS,Putamen,Male
GTEX-13RTJ-0011-R8b-SM-5O9DL,Hypothalamus,Male
GTEX-13RTJ-0011-R9a-SM-5Q5AY,Spinal Cord,Male
GTEX-13RTJ-3126-SM-5S2Q4,Cerebellum,Male
GTEX-13RTL-0011-R1a-SM-5PNZ8,Hippocampus,Male
GTEX-13RTL-0011-R3a-SM-5P9JP,Ant. Cing. Ctx,Male
GTEX-13RTL-0011-R9a-SM-5Q5BR,Spinal Cord,Male
GTEX-13S7M-0011-R10b-SM-5PNZB,Frontal Cortex,Female
GTEX-13S7M-0011-R11b-SM-5P9HU,Cerebellar Hemi.,Female
GTEX-13S7M-0011-R1b-SM-5PNZE,Hippocampus,Female
GTEX-13S7M-0011-R3a-SM-5PNX2,Ant. Cing. Ctx,Female
GTEX-13S7M-0011-R5b-SM-5P9HS,Caudate,Female
GTEX-13S7M-0011-R6b-SM-5O9D8,Nucleus Accumbens,Female
GTEX-13S7M-0011-R7a-SM-5O9DK,Putamen,Female
GTEX-13S7M-0011-R9a-SM-5O9DW,Spinal Cord,Female
GTEX-13S7M-3026-SM-5S2QQ,Cerebellum,Female
GTEX-13S7M-3126-SM-5RQJQ,Cortex,Female
GTEX-13SLW-0011-R10a-SM-5S2UI,Frontal Cortex,Male
GTEX-13SLW-0011-R10a-SM-AHZ71,Frontal Cortex,Male
GTEX-13SLW-0011-R11a-SM-5SI8Q,Cerebellar Hemi.,Male
GTEX-13SLW-0011-R1a-SM-5S2W7,Hippocampus,Male
GTEX-13SLW-0011-R2b-SM-5O9C6,Substantia Nigra,Male
GTEX-13SLW-0011-R3b-SM-5SI6Y,Ant. Cing. Ctx,Male
GTEX-13SLW-0011-R4b-SM-5S2W2,Amygdala,Male
GTEX-13SLW-0011-R5b-SM-5SI6Z,Caudate,Male
GTEX-13SLW-0011-R6a-SM-5O9BH,Nucleus Accumbens,Male
GTEX-13SLW-0011-R8b-SM-5SI64,Hypothalamus,Male
GTEX-13SLW-0011-R9a-SM-5O9BT,Spinal Cord,Male
GTEX-13SLX-0011-R10a-SM-5P9HV,Frontal Cortex,Female
GTEX-13SLX-0011-R10a-SM-AHZ6P,Frontal Cortex,Female
GTEX-13SLX-0011-R11b-SM-5O9C8,Cerebellar Hemi.,Female
GTEX-13SLX-0011-R2b-SM-5S2VP,Substantia Nigra,Female
GTEX-13SLX-0011-R4a-SM-5O9BJ,Amygdala,Female
GTEX-13SLX-0011-R5a-SM-5O9BV,Caudate,Female
GTEX-13SLX-0011-R6a-SM-5PNX4,Nucleus Accumbens,Female
GTEX-13SLX-0011-R8b-SM-5PNWZ,Hypothalamus,Female
GTEX-13SLX-0011-R9b-SM-5SI6X,Spinal Cord,Female
GTEX-13SLX-3126-SM-5S2Q5,Cortex,Female
GTEX-13SLX-3226-SM-5YYA6,Cerebellum,Female
GTEX-13VXU-0011-R10a-SM-AHZ6R,Frontal Cortex,Male
GTEX-13VXU-0011-R10a-SM-CYKSP,Frontal Cortex,Male
GTEX-13VXU-0011-R11b-SM-5O9DJ,Cerebellar Hemi.,Male
GTEX-13VXU-0011-R3b-SM-5O9CU,Ant. Cing. Ctx,Male
GTEX-13VXU-0011-R4b-SM-5O9CI,Amygdala,Male
GTEX-13VXU-0011-R5a-SM-5O9D7,Caudate,Male
GTEX-13VXU-0011-R6a-SM-5SI71,Nucleus Accumbens,Male
GTEX-13VXU-0011-R7b-SM-5SI72,Putamen,Male
GTEX-13VXU-0011-R9b-SM-5SI73,Spinal Cord,Male
GTEX-13VXU-2926-SM-5LU5C,Cortex,Male
GTEX-13VXU-3026-SM-5LU3K,Cerebellum,Male
GTEX-13X6I-0011-R10a-SM-5PNWI,Frontal Cortex,Male
GTEX-13X6I-0011-R10a-SM-AHZND,Frontal Cortex,Male
GTEX-13X6I-0011-R10a-SM-CYKOE,Frontal Cortex,Male
GTEX-13X6I-0011-R11a-SM-5P9HN,Cerebellar Hemi.,Male
GTEX-13X6I-0011-R1b-SM-5PNZC,Hippocampus,Male
GTEX-13X6I-0011-R1b-SM-DG7EQ-HP3_A,Hippocampus,Male
GTEX-13X6I-0011-R1b-SM-DG7EQ-HP3_B,Hippocampus,Male
GTEX-13X6I-0011-R1b-SM-DG7EQ-HP3_B_united,Hippocampus,Male
GTEX-13X6I-0011-R2b-SM-5PNWQ,Substantia Nigra,Male
GTEX-13X6I-0011-R3b-SM-5P9HM,Ant. Cing. Ctx,Male
GTEX-13X6I-0011-R4b-SM-5PNU9,Amygdala,Male
GTEX-13X6I-0011-R5a-SM-5PNWW,Caudate,Male
GTEX-13X6I-0011-R7b-SM-5PNWP,Putamen,Male
GTEX-13X6I-0011-R8a-SM-5PNZF,Hypothalamus,Male
GTEX-13X6I-0011-R9b-SM-5PNZJ,Spinal Cord,Male
GTEX-13X6I-2926-SM-5Q5C3,Cerebellum,Male
GTEX-13X6J-0011-R10a-SM-AHZN5,Frontal Cortex,Male
GTEX-13X6J-0011-R10b-SM-5PNWA,Frontal Cortex,Male
GTEX-13X6J-0011-R11a-SM-5P9HE,Cerebellar Hemi.,Male
GTEX-13X6J-0011-R3b-SM-5P9K5,Ant. Cing. Ctx,Male
GTEX-13X6J-0011-R4b-SM-5P9K4,Amygdala,Male
GTEX-13X6J-0011-R5b-SM-5PNWT,Caudate,Male
GTEX-13X6J-0011-R6a-SM-5PNUB,Nucleus Accumbens,Male
GTEX-13X6J-0011-R7b-SM-5PNUC,Putamen,Male
GTEX-13X6J-0011-R8b-SM-5PNUA,Hypothalamus,Male
GTEX-13X6J-2926-SM-7EPGP,Cerebellum,Male
GTEX-13X6J-3026-SM-5Q5CU,Cortex,Male
GTEX-13X6K-0011-R10a-SM-5P9JR,Frontal Cortex,Female
GTEX-13X6K-0011-R11a-SM-5P9F5,Cerebellar Hemi.,Female
GTEX-13X6K-0011-R2b-SM-5P9K3,Substantia Nigra,Female
GTEX-13X6K-0011-R3b-SM-5PNUD,Ant. Cing. Ctx,Female
GTEX-13X6K-0011-R4b-SM-5P9HO,Amygdala,Female
GTEX-13X6K-0011-R5b-SM-5PNUE,Caudate,Female
GTEX-13X6K-0011-R6a-SM-5P9K6,Nucleus Accumbens,Female
GTEX-13X6K-0011-R7b-SM-5P9K7,Putamen,Female
GTEX-13X6K-0011-R8b-SM-5PNZ4,Hypothalamus,Female
GTEX-13X6K-2826-SM-5O9DS,Cerebellum,Female
GTEX-13X6K-2926-SM-5Q5D5,Cortex,Female
GTEX-1445S-0011-R10a-SM-5PNWB,Frontal Cortex,Male
GTEX-1445S-0011-R2b-SM-5PNUH,Substantia Nigra,Male
GTEX-1445S-0011-R3a-SM-5P9HY,Ant. Cing. Ctx,Male
GTEX-1445S-0011-R4a-SM-5PNWN,Amygdala,Male
GTEX-1445S-0011-R5a-SM-5PNUS,Caudate,Male
GTEX-1445S-0011-R6b-SM-5PNUF,Nucleus Accumbens,Male
GTEX-1445S-0011-R7b-SM-5PNUG,Putamen,Male
GTEX-1445S-0011-R8a-SM-5PNWX,Hypothalamus,Male
GTEX-1445S-3026-SM-5O9BR,Cortex,Male
GTEX-144FL-3026-SM-5O99C,Cortex,Male
GTEX-144FL-3126-SM-5TDCX,Cerebellum,Male
GTEX-144GL-0011-R11b-SM-5P9F6,Cerebellar Hemi.,Male
GTEX-144GL-0011-R1a-SM-5PNZ5,Hippocampus,Male
GTEX-144GL-0011-R3a-SM-5P9HP,Ant. Cing. Ctx,Male
GTEX-144GL-0011-R4a-SM-5PNUI,Amygdala,Male
GTEX-144GL-0011-R5b-SM-5PNUJ,Caudate,Male
GTEX-144GL-0011-R6a-SM-5P9HW,Nucleus Accumbens,Male
GTEX-144GL-0011-R7b-SM-5P9HX,Putamen,Male
GTEX-144GL-0011-R8a-SM-5Q5B1,Hypothalamus,Male
GTEX-144GL-2926-SM-5O99F,Cerebellum,Male
GTEX-144GL-3026-SM-5Q5CW,Cortex,Male
GTEX-144GO-0011-R1a-SM-5PNWO,Hippocampus,Male
GTEX-144GO-0011-R5a-SM-5PNUR,Caudate,Male
GTEX-144GO-0011-R6b-SM-5S2V7,Nucleus Accumbens,Male
GTEX-144GO-0011-R7b-SM-5S2TT,Putamen,Male
GTEX-145LS-0011-R10a-SM-5PNUQ,Frontal Cortex,Female
GTEX-145LS-0011-R1b-SM-5PNUP,Hippocampus,Female
GTEX-145LS-0011-R2a-SM-5PNZI,Substantia Nigra,Female
GTEX-145LS-0011-R3a-SM-5S2VJ,Ant. Cing. Ctx,Female
GTEX-145LS-0011-R4b-SM-5S2UT,Amygdala,Female
GTEX-145LS-0011-R5a-SM-5SI65,Caudate,Female
GTEX-145LS-0011-R6b-SM-5PNWL,Nucleus Accumbens,Female
GTEX-145LS-0011-R7a-SM-5PNWM,Putamen,Female
GTEX-145LS-0011-R8b-SM-5PNXA,Hypothalamus,Female
GTEX-145LS-3026-SM-5O99S,Cerebellum,Female
GTEX-145LS-3126-SM-5Q5BY,Cortex,Female
GTEX-145LU-0011-R10a-SM-5PNWJ,Frontal Cortex,Male
GTEX-145LU-0011-R11b-SM-5P9JX,Cerebellar Hemi.,Male
GTEX-145LU-0011-R1a-SM-5Q5CE,Hippocampus,Male
GTEX-145LU-0011-R3a-SM-5P9K2,Ant. Cing. Ctx,Male
GTEX-145LU-0011-R6a-SM-5S2V6,Nucleus Accumbens,Male
GTEX-145LU-0011-R8b-SM-5PNZG,Hypothalamus,Male
GTEX-145LU-0011-R9b-SM-5SI66,Spinal Cord,Male
GTEX-145LU-2626-SM-5LU9Z,Cerebellum,Male
GTEX-145MF-2726-SM-5O995,Cortex,Male
GTEX-145MF-2826-SM-7EPGU,Cerebellum,Male
GTEX-145MG-0011-R10a-SM-5PNWG,Frontal Cortex,Male
GTEX-145MG-0011-R10a-SM-AHZ7D,Frontal Cortex,Male
GTEX-145MG-0011-R10a-SM-CYKO9,Frontal Cortex,Male
GTEX-145MG-0011-R3b-SM-5SI67,Ant. Cing. Ctx,Male
GTEX-145MG-0011-R5b-SM-5S2VU,Caudate,Male
GTEX-145MG-0011-R7b-SM-5P9JY,Putamen,Male
GTEX-145MG-3026-SM-5RQJA,Cortex,Male
GTEX-145MG-3126-SM-5Q5D3,Cerebellum,Male
GTEX-145MH-0011-R10a-SM-AHZN7,Frontal Cortex,Male
GTEX-145MH-0011-R10b-SM-5PNUK,Frontal Cortex,Male
GTEX-145MH-0011-R11a-SM-5P9HQ,Cerebellar Hemi.,Male
GTEX-145MH-0011-R1b-SM-5PNWY,Hippocampus,Male
GTEX-145MH-0011-R3b-SM-5P9JQ,Ant. Cing. Ctx,Male
GTEX-145MH-0011-R5a-SM-5P9JT,Caudate,Male
GTEX-145MH-0011-R6a-SM-5PNZ7,Nucleus Accumbens,Male
GTEX-145MH-0011-R7a-SM-5PNWH,Putamen,Male
GTEX-145MH-0011-R8a-SM-5PNUL,Hypothalamus,Male
GTEX-145MH-2926-SM-5Q5D2,Cerebellum,Male
GTEX-145MH-3026-SM-5Q5DZ,Cortex,Male
GTEX-145MI-0011-R10a-SM-5PNZD,Frontal Cortex,Female
GTEX-145MI-0011-R11a-SM-5P9JZ,Cerebellar Hemi.,Female
GTEX-145MI-0011-R3b-SM-5PNWK,Ant. Cing. Ctx,Female
GTEX-145MI-0011-R4b-SM-5PNZH,Amygdala,Female
GTEX-145MI-0011-R5a-SM-5Q5B4,Caudate,Female
GTEX-145MI-0011-R6a-SM-5PNZA,Nucleus Accumbens,Female
GTEX-145MI-0011-R7b-SM-5Q5AZ,Putamen,Female
GTEX-145MI-0011-R8b-SM-5PNZ9,Hypothalamus,Female
GTEX-145MI-3126-SM-5Q5CF,Cerebellum,Female
GTEX-14753-0011-R10a-SM-AHZ7C,Frontal Cortex,Male
GTEX-14753-0011-R10b-SM-5S2WE,Frontal Cortex,Male
GTEX-14753-0011-R5a-SM-5S2VW,Caudate,Male
GTEX-14753-0011-R6b-SM-5S2UD,Nucleus Accumbens,Male
GTEX-14753-0011-R8b-SM-5S2U1,Hypothalamus,Male
GTEX-1477Z-0011-R10a-SM-AHZ6Z,Frontal Cortex,Male
GTEX-1477Z-0011-R10b-SM-5S2RF,Frontal Cortex,Male
GTEX-1477Z-0011-R10b-SM-CYKRY,Frontal Cortex,Male
GTEX-1477Z-0011-R3b-SM-5PNX9,Ant. Cing. Ctx,Male
GTEX-1477Z-0011-R5b-SM-5PNUO,Caudate,Male
GTEX-1477Z-0011-R8b-SM-5S2RG,Hypothalamus,Male
GTEX-147F4-0011-R10a-SM-AHZ7E,Frontal Cortex,Male
GTEX-147F4-0011-R10b-SM-5S2WC,Frontal Cortex,Male
GTEX-147F4-0011-R10b-SM-CYKQO,Frontal Cortex,Male
GTEX-147F4-0011-R6b-SM-5S2UP,Nucleus Accumbens,Male
GTEX-147F4-0011-R8b-SM-5S2UN,Hypothalamus,Male
GTEX-147F4-3026-SM-5Q5BJ,Cerebellum,Male
GTEX-147GR-0011-R10a-SM-AHZ6Y,Frontal Cortex,Male
GTEX-147GR-0011-R10b-SM-5S2UM,Frontal Cortex,Male
GTEX-147GR-0011-R10b-SM-CYKQJ,Frontal Cortex,Male
GTEX-147GR-0011-R2b-SM-5S2RQ,Substantia Nigra,Male
GTEX-147GR-0011-R4a-SM-5S2V2,Amygdala,Male
GTEX-147GR-0011-R6b-SM-5S2RO,Nucleus Accumbens,Male
GTEX-147GR-0011-R7a-SM-5S2RP,Putamen,Male
GTEX-147GR-0011-R9a-SM-5S2UY,Spinal Cord,Male
GTEX-147GR-3026-SM-5S2ML,Cortex,Male
GTEX-147GR-3126-SM-5S2PM,Cerebellum,Male
GTEX-148VJ-0011-R10a-SM-AHZ6U,Frontal Cortex,Male
GTEX-148VJ-0011-R3b-SM-69LQJ,Ant. Cing. Ctx,Male
GTEX-148VJ-0011-R9b-SM-5SI77,Spinal Cord,Male
GTEX-14A5H-0011-R10a-SM-AHZ78,Frontal Cortex,Male
GTEX-14A5I-2826-SM-5SIBF,Cerebellum,Female
GTEX-14A5I-2926-SM-5Q5CQ,Cortex,Female
GTEX-14ABY-0011-R10a-SM-AHZ73,Frontal Cortex,Male
GTEX-14ABY-0011-R11a-SM-5SI7C,Cerebellar Hemi.,Male
GTEX-14ABY-0011-R1a-SM-6EU2W,Hippocampus,Male
GTEX-14ABY-0011-R4b-SM-5S2VN,Amygdala,Male
GTEX-14ABY-0011-R5b-SM-5SI7B,Caudate,Male
GTEX-14ABY-0011-R6a-SM-5PNWR,Nucleus Accumbens,Male
GTEX-14ABY-0011-R7b-SM-5PNWS,Putamen,Male
GTEX-14ABY-0011-R9a-SM-5PNZK,Spinal Cord,Male
GTEX-14ABY-3026-SM-664NE,Cerebellum,Male
GTEX-14ASI-0011-R10a-SM-AHZNF,Frontal Cortex,Male
GTEX-14ASI-0011-R10b-SM-5S2VZ,Frontal Cortex,Male
GTEX-14ASI-0011-R11b-SM-6AJBJ,Cerebellar Hemi.,Male
GTEX-14ASI-0011-R1b-SM-5S2TY,Hippocampus,Male
GTEX-14ASI-0011-R2b-SM-5YY9H,Substantia Nigra,Male
GTEX-14ASI-0011-R4a-SM-69LQ4,Amygdala,Male
GTEX-14ASI-0011-R5b-SM-6EU2M,Caudate,Male
GTEX-14ASI-0011-R6a-SM-5S2UZ,Nucleus Accumbens,Male
GTEX-14ASI-0011-R7b-SM-5YY9G,Putamen,Male
GTEX-14ASI-0011-R8b-SM-5S2UB,Hypothalamus,Male
GTEX-14ASI-2926-SM-5Q5DG,Cerebellum,Male
GTEX-14ASI-3026-SM-5S2PN,Cortex,Male
GTEX-14BIL-0011-R10a-SM-5SI75,Frontal Cortex,Male
GTEX-14BIL-0011-R10a-SM-AHZ7B,Frontal Cortex,Male
GTEX-14BIL-0011-R10a-SM-CYKOB,Frontal Cortex,Male
GTEX-14BIL-0011-R8b-SM-69LQK,Hypothalamus,Male
GTEX-14BIL-0011-R9a-SM-5SI7A,Spinal Cord,Male
GTEX-14BIL-3026-SM-7EWD4,Cortex,Male
GTEX-14BIM-0011-R10a-SM-AHZ7A,Frontal Cortex,Female
GTEX-14BIM-0011-R11b-SM-5S2RN,Cerebellar Hemi.,Female
GTEX-14BIM-0011-R1a-SM-69LQI,Hippocampus,Female
GTEX-14BIM-0011-R2b-SM-69LQ6,Substantia Nigra,Female
GTEX-14BIM-0011-R3b-SM-5S2RL,Ant. Cing. Ctx,Female
GTEX-14BIM-0011-R4b-SM-5S2RK,Amygdala,Female
GTEX-14BIM-0011-R5b-SM-5S2RM,Caudate,Female
GTEX-14BIM-0011-R6b-SM-5S2VB,Nucleus Accumbens,Female
GTEX-14BIM-0011-R9a-SM-6LLJL,Spinal Cord,Female
GTEX-14BIM-3026-SM-7EWCY,Cortex,Female
GTEX-14BIM-3026-SM-CYKU4,Cortex,Female
GTEX-14BIM-3126-SM-5Q5C7,Cerebellum,Female
GTEX-14BIN-0011-R10a-SM-5S2UA,Frontal Cortex,Female
GTEX-14BIN-0011-R10a-SM-AHZ79,Frontal Cortex,Female
GTEX-14BIN-0011-R10a-SM-CYKQL,Frontal Cortex,Female
GTEX-14BIN-0011-R11a-SM-5SI79,Cerebellar Hemi.,Female
GTEX-14BIN-0011-R2a-SM-5S2RJ,Substantia Nigra,Female
GTEX-14BIN-0011-R3b-SM-6AJBL,Ant. Cing. Ctx,Female
GTEX-14BIN-0011-R5b-SM-5SI78,Caudate,Female
GTEX-14BIN-0011-R6a-SM-5S2RH,Nucleus Accumbens,Female
GTEX-14BIN-0011-R7b-SM-5S2RI,Putamen,Female
GTEX-14BIN-0011-R9a-SM-5SI76,Spinal Cord,Female
GTEX-14BIN-3226-SM-62LDR,Cortex,Female
GTEX-14BIN-3326-SM-5Q5E6,Cerebellum,Female
GTEX-14BMV-0011-R10a-SM-AHZN8,Frontal Cortex,Male
GTEX-14BMV-0011-R10b-SM-CYKPO,Frontal Cortex,Male
GTEX-14BMV-0011-R3a-SM-5ZZU7,Ant. Cing. Ctx,Male
GTEX-14BMV-0011-R5b-SM-62LFT,Caudate,Male
GTEX-14BMV-0011-R6b-SM-5YY9I,Nucleus Accumbens,Male
GTEX-14BMV-0011-R7b-SM-5YY9J,Putamen,Male
GTEX-14BMV-0011-R9b-SM-5ZZUA,Spinal Cord,Male
GTEX-14BMV-2926-SM-5TDEE,Cerebellum,Male
GTEX-14BMV-3026-SM-5S2PQ,Cortex,Male
GTEX-14C39-0011-R10a-SM-AHZ77,Frontal Cortex,Male
GTEX-14C39-0011-R10b-SM-5YYBE,Frontal Cortex,Male
GTEX-14C39-0011-R10b-SM-CYKPP,Frontal Cortex,Male
GTEX-14C39-0011-R11b-SM-5YYAF,Cerebellar Hemi.,Male
GTEX-14C39-0011-R3b-SM-5YYA3,Ant. Cing. Ctx,Male
GTEX-14C39-0011-R5b-SM-5ZZV1,Caudate,Male
GTEX-14C39-0011-R6b-SM-5YYAZ,Nucleus Accumbens,Male
GTEX-14C39-3026-SM-5S2QE,Cerebellum,Male
GTEX-14C39-3126-SM-5ZZW6,Cortex,Male
GTEX-14C5O-0011-R10a-SM-6872F,Frontal Cortex,Male
GTEX-14C5O-0011-R10a-SM-AHZN3,Frontal Cortex,Male
GTEX-14C5O-0011-R10a-SM-CYKSO,Frontal Cortex,Male
GTEX-14C5O-0011-R11b-SM-6872H,Cerebellar Hemi.,Male
GTEX-14C5O-0011-R1b-SM-6AJBW,Hippocampus,Male
GTEX-14C5O-0011-R2a-SM-5ZZV2,Substantia Nigra,Male
GTEX-14C5O-0011-R6a-SM-5YYB6,Nucleus Accumbens,Male
GTEX-14C5O-0011-R7b-SM-5YYAH,Putamen,Male
GTEX-14C5O-0011-R8a-SM-5YYAG,Hypothalamus,Male
GTEX-14C5O-2926-SM-5RQI1,Cerebellum,Male
GTEX-14C5O-3026-SM-5YYB2,Cortex,Male
GTEX-14DAQ-0011-R10a-SM-AHZNB,Frontal Cortex,Female
GTEX-14DAQ-0011-R11a-SM-664NO,Cerebellar Hemi.,Female
GTEX-14DAQ-0011-R3b-SM-5YYAJ,Ant. Cing. Ctx,Female
GTEX-14DAQ-0011-R4a-SM-5YYAI,Amygdala,Female
GTEX-14DAQ-0011-R5b-SM-5YYAK,Caudate,Female
GTEX-14DAQ-3026-SM-5S2QZ,Cerebellum,Female
GTEX-14DAQ-3126-SM-62LDS,Cortex,Female
GTEX-14E6C-0011-R10a-SM-AHZMW,Frontal Cortex,Male
GTEX-14E6C-0011-R9a-SM-6EU33,Spinal Cord,Male
GTEX-14E6D-0011-R10a-SM-5YY9C,Frontal Cortex,Male
GTEX-14E6D-0011-R10a-SM-AHZ76,Frontal Cortex,Male
GTEX-14E6D-0011-R10a-SM-CYKPM,Frontal Cortex,Male
GTEX-14E6D-0011-R11b-SM-664NP,Cerebellar Hemi.,Male
GTEX-14E6D-0011-R1b-SM-5YYAW,Hippocampus,Male
GTEX-14E6D-0011-R5b-SM-69LQR,Caudate,Male
GTEX-14E6D-2926-SM-664OP,Cerebellum,Male
GTEX-14E7W-0011-R10a-SM-5YYAX,Frontal Cortex,Male
GTEX-14E7W-0011-R10a-SM-CYKPN,Frontal Cortex,Male
GTEX-14E7W-0011-R11a-SM-5ZZVA,Cerebellar Hemi.,Male
GTEX-14E7W-0011-R1b-SM-5YYAT,Hippocampus,Male
GTEX-14E7W-0011-R3b-SM-5YYB5,Ant. Cing. Ctx,Male
GTEX-14E7W-0011-R4b-SM-62LEA,Amygdala,Male
GTEX-14E7W-0011-R5b-SM-664NS,Caudate,Male
GTEX-14E7W-0011-R6b-SM-5ZZV3,Nucleus Accumbens,Male
GTEX-14E7W-0011-R7b-SM-5ZZV4,Putamen,Male
GTEX-14E7W-0011-R9a-SM-62LE6,Spinal Cord,Male
GTEX-14E7W-2926-SM-5S2R8,Cerebellum,Male
GTEX-14JFF-0011-R10a-SM-AHZNL,Frontal Cortex,Male
GTEX-14JFF-0011-R11a-SM-5ZZV6,Cerebellar Hemi.,Male
GTEX-14JFF-0011-R4a-SM-5ZZV5,Amygdala,Male
GTEX-14JFF-2826-SM-6871Q,Cerebellum,Male
GTEX-14JFF-2926-SM-CYKNZ,Cortex,Male
GTEX-14JG1-0011-R10a-SM-AHZNJ,Frontal Cortex,Male
GTEX-14JG1-0011-R11a-SM-62LEE,Cerebellar Hemi.,Male
GTEX-14JG1-0011-R2a-SM-5ZZVE,Substantia Nigra,Male
GTEX-14JG1-0011-R3a-SM-62LEC,Ant. Cing. Ctx,Male
GTEX-14JG1-0011-R4b-SM-62LEB,Amygdala,Male
GTEX-14JG1-0011-R5a-SM-62LED,Caudate,Male
GTEX-14JG1-0011-R6b-SM-5YYAU,Nucleus Accumbens,Male
GTEX-14JG1-0011-R7b-SM-5YYAV,Putamen,Male
GTEX-14JG1-2926-SM-686ZK,Cerebellum,Male
GTEX-14JG1-3026-SM-5YYAA,Cortex,Male
GTEX-14JIY-0011-R10a-SM-6AJAO,Frontal Cortex,Male
GTEX-14JIY-0011-R10a-SM-AHZ75,Frontal Cortex,Male
GTEX-14JIY-0011-R11b-SM-62LE8,Cerebellar Hemi.,Male
GTEX-14JIY-0011-R1a-SM-68713,Hippocampus,Male
GTEX-14JIY-0011-R3a-SM-5YYAQ,Ant. Cing. Ctx,Male
GTEX-14JIY-0011-R4b-SM-5ZZV7,Amygdala,Male
GTEX-14JIY-0011-R5b-SM-62LE7,Caudate,Male
GTEX-14JIY-0011-R6b-SM-68714,Nucleus Accumbens,Male
GTEX-14JIY-0011-R8a-SM-6AJAP,Hypothalamus,Male
GTEX-14JIY-0011-R9a-SM-6EU34,Spinal Cord,Male
GTEX-14JIY-2326-SM-6AJAJ,Cerebellum,Male
GTEX-14JIY-2926-SM-69LPT,Cortex,Male
GTEX-14JIY-2926-SM-CYKO5,Cortex,Male
GTEX-14LLW-0011-R10a-SM-62LEG,Frontal Cortex,Female
GTEX-14LLW-0011-R10a-SM-AHZNO,Frontal Cortex,Female
GTEX-14LLW-0011-R11b-SM-62LEH,Cerebellar Hemi.,Female
GTEX-14LLW-0011-R1a-SM-5ZZVD,Hippocampus,Female
GTEX-14LLW-0011-R3b-SM-62LFW,Ant. Cing. Ctx,Female
GTEX-14LLW-0011-R5b-SM-5ZZU6,Caudate,Female
GTEX-14LLW-0011-R8a-SM-62LFG,Hypothalamus,Female
GTEX-14LLW-2826-SM-62LE1,Cerebellum,Female
GTEX-14LZ3-0011-R10a-SM-AHZNP,Frontal Cortex,Female
GTEX-14LZ3-0011-R10b-SM-6AJA9,Frontal Cortex,Female
GTEX-14LZ3-0011-R1a-SM-69LP5,Hippocampus,Female
GTEX-14LZ3-0011-R3a-SM-664NQ,Ant. Cing. Ctx,Female
GTEX-14LZ3-0011-R5b-SM-5ZZV8,Caudate,Female
GTEX-14LZ3-0011-R6a-SM-686ZO,Nucleus Accumbens,Female
GTEX-14LZ3-0011-R6a-SM-69LQM,Nucleus Accumbens,Female
GTEX-14LZ3-0011-R6a-SM-D3L8C,Nucleus Accumbens,Female
GTEX-14LZ3-0011-R7a-SM-69LQN,Putamen,Female
GTEX-14LZ3-0011-R8b-SM-69LOZ,Hypothalamus,Female
GTEX-14LZ3-0011-R8b-SM-69LP6,Hypothalamus,Female
GTEX-14LZ3-0011-R8b-SM-COH3M,Hypothalamus,Female
GTEX-14LZ3-2926-SM-5YY8T,Cerebellum,Female
GTEX-14LZ3-3026-SM-5ZZVU,Cortex,Female
GTEX-14PHW-0011-R10a-SM-AHZNG,Frontal Cortex,Female
GTEX-14PHW-0011-R6b-SM-5YYAR,Nucleus Accumbens,Female
GTEX-14PJM-0011-R10a-SM-686ZP,Frontal Cortex,Female
GTEX-14PJM-0011-R10a-SM-AHZNK,Frontal Cortex,Female
GTEX-14PJM-0011-R10a-SM-CYKSM,Frontal Cortex,Female
GTEX-14PJM-0011-R1a-SM-6AJAG,Hippocampus,Female
GTEX-14PJM-0011-R1a-SM-6EU2Z,Hippocampus,Female
GTEX-14PJM-0011-R1a-SM-CNPO3,Hippocampus,Female
