SAMPID,region,sex
GTEX-12WSD-3126-SM-5HL7P,Cortex,Female
GTEX-12WSE-0011-R10a-SM-AHZMZ,Frontal Cortex,Male
GTEX-12WSE-0011-R10b-SM-5P9JV,Frontal Cortex,Male
GTEX-12WSE-0011-R10b-SM-CYKPY,Frontal Cortex,Male
GTEX-12WSE-0011-R11b-SM-5P9JW,Cerebellar Hemi.,Male
GTEX-12WSE-0011-R1b-SM-5GU4V,Hippocampus,Male
GTEX-12WSE-0011-R6b-SM-5LZV5,Nucleus Accumbens,Male
GTEX-12WSE-0011-R7a-SM-5PNWF,Putamen,Male
GTEX-12WSE-2926-SM-5RQJ9,Cerebellum,Male
GTEX-12WSF-0011-R10a-SM-5LZVH,Frontal Cortex,Male
GTEX-12WSF-0011-R10a-SM-AHZNQ,Frontal Cortex,Male
GTEX-12WSF-0011-R11a-SM-5LZVT,Cerebellar Hemi.,Male
GTEX-12WSF-0011-R1a-SM-5DUVI,Hippocampus,Male
GTEX-12WSF-0011-R2a-SM-5DUVU,Substantia Nigra,Male
GTEX-12WSF-0011-R3a-SM-5DUW7,Ant. Cing. Ctx,Male
GTEX-12WSF-0011-R4b-SM-5HL88,Amygdala,Male
GTEX-12WSF-0011-R5a-SM-5HL8K,Caudate,Male
GTEX-12WSF-0011-R6b-SM-5HL8W,Nucleus Accumbens,Male
GTEX-12WSF-0011-R7b-SM-5HL99,Putamen,Male
GTEX-12WSF-3126-SM-6M478,Cortex,Male
GTEX-12WSF-3126-SM-CYKSU,Cortex,Male
GTEX-12WSH-0011-R10a-SM-5LZUS,Frontal Cortex,Male
GTEX-12WSH-0011-R10a-SM-AHZ6J,Frontal Cortex,Male
GTEX-12WSH-0011-R10a-SM-CYKRI,Frontal Cortex,Male
GTEX-12WSH-0011-R11a-SM-5LZVM,Cerebellar Hemi.,Male
GTEX-12WSH-0011-R1a-SM-5GU5V,Hippocampus,Male
GTEX-12WSH-0011-R2a-SM-5GU68,Substantia Nigra,Male
GTEX-12WSH-0011-R4a-SM-5GU6K,Amygdala,Male
GTEX-12WSH-0011-R5b-SM-5P9F3,Caudate,Male
GTEX-12WSH-0011-R6b-SM-5P9F4,Nucleus Accumbens,Male
GTEX-12WSH-0011-R9b-SM-5LZUG,Spinal Cord,Male
GTEX-12WSH-3026-SM-5CVNI,Cortex,Male
GTEX-12WSH-3126-SM-5LZW8,Cerebellum,Male
GTEX-12WSI-0011-R11b-SM-5P9EZ,Cerebellar Hemi.,Male
GTEX-12WSI-0011-R7b-SM-5GU78,Putamen,Male
GTEX-12WSM-0011-R10a-SM-5DUWV,Frontal Cortex,Male
GTEX-12WSM-0011-R10a-SM-AHZ6F,Frontal Cortex,Male
GTEX-12WSM-0011-R10a-SM-CYKRA,Frontal Cortex,Male
GTEX-12WSM-0011-R11a-SM-5DUX8,Cerebellar Hemi.,Male
GTEX-12WSM-0011-R1a-SM-5LZW6,Hippocampus,Male
GTEX-12WSM-0011-R3b-SM-5LZWI,Ant. Cing. Ctx,Male
GTEX-12WSM-0011-R5a-SM-5EQ4Y,Caudate,Male
GTEX-12WSM-0011-R6b-SM-5EQ6N,Nucleus Accumbens,Male
GTEX-12WSM-0011-R7b-SM-5EGLD,Putamen,Male
GTEX-12WSM-0011-R8a-SM-5DUWJ,Hypothalamus,Male
GTEX-12WSM-2126-SM-5GCOC,Cerebellum,Male
GTEX-12ZZW-0011-R10a-SM-AHZMP,Frontal Cortex,Male
GTEX-12ZZW-0011-R10b-SM-5HL9X,Frontal Cortex,Male
GTEX-12ZZW-0011-R3a-SM-5DUWW,Ant. Cing. Ctx,Male
GTEX-12ZZW-0011-R4a-SM-5DUX9,Amygdala,Male
GTEX-12ZZW-0011-R5a-SM-5DUVN,Caudate,Male
GTEX-12ZZW-0011-R6a-SM-5DUVZ,Nucleus Accumbens,Male
GTEX-12ZZW-0011-R7a-SM-5DUWC,Putamen,Male
