gene,region,n_f,n_m,mean_md,ci_lo,ci_hi,ci_width,bimod,skewness,crosses_zero
AVPR1B,Amygdala,45,107,0.011482128807906633,-0.005150299831702669,0.030794138587886103,0.035944438419588776,0.3593108771649808,0.33619370591554093,1
AVPR1B,Hippocampus,54,143,0.007095334393765799,-0.008378700169370897,0.024706424789290075,0.03308512495866097,0.33493198959094106,0.26609295360318885,1
AVPR1B,Ant. Cing. Ctx,48,128,-0.0012341592498967921,-0.018995869032463482,0.01699985690527212,0.035995725937735604,0.3310585969658509,0.10971819691832943,1
AVPR1B,Frontal Cortex,56,153,0.006828675749393797,-0.01728286601748334,0.031755889249583266,0.04903875526706661,0.3454612582394536,0.14196662806348595,1
AVPR1B,Cortex,74,181,-0.0048378836205471175,-0.02290078558710239,0.014049916666212975,0.036950702253315364,0.3543029336400724,0.08325356166075737,1
AVPR1B,Caudate,63,183,0.003795055512725091,-0.005819664471408107,0.016452159906518195,0.022271824377926304,0.37749189958869056,0.5435223548782523,1
AVPR1B,Putamen,49,156,0.0059361207769865615,-0.002908831530594007,0.01601956272146952,0.018928394252063527,0.3610761457456891,0.24083420692611981,1
AVPR1B,Nucleus Accumbens,64,182,0.006100563643384666,-0.0018312256530808387,0.016064762259485,0.017895987912565837,0.3713710754857663,0.4707489559186054,1
AVPR1B,Cerebellum,67,174,0.06288641748102566,-0.020898726215149467,0.14491449653713856,0.16581322275228802,0.34604567685861043,0.007546963625355086,1
AVPR1B,Cerebellar Hemi.,58,157,-0.07501751305670028,-0.18255715858567276,0.034402796873107364,0.2169599554587801,0.3611146971776256,0.05395770335181759,1
AVPR1B,Substantia Nigra,38,101,-0.005310284270298208,-0.017402083459899766,0.008620571767793383,0.026022655227693148,0.3471685242102614,0.24710066054256774,1
AVPR1B,Spinal Cord,57,102,-0.0026177143071119016,-0.015441983506840815,0.010147761559181212,0.025589745066022025,0.3205699074722938,-0.01673670570261238,1
POMC,Hypothalamus,55,147,-0.8029724811183117,-1.2957291685865895,-0.25212852113550543,1.043600647451084,0.3326881482572421,0.15864731551485312,0
POMC,Amygdala,45,107,-0.2133926003348504,-0.4527113497382411,0.038941377133067244,0.49165272687130834,0.31928246863101994,0.09393934847640004,1
POMC,Hippocampus,54,143,-0.0953966265160327,-0.3534157443895138,0.19293866011640778,0.5463544045059215,0.3298648021252045,0.25947008952744544,1
POMC,Ant. Cing. Ctx,48,128,-0.060064035251022566,-0.2715996212187651,0.155455155328644,0.4270547765474091,0.3314532348646659,0.026787343146400945,1
POMC,Frontal Cortex,56,153,-0.18239751426877576,-0.37829688545291457,0.03151197113920827,0.40980885659212285,0.3307507296642027,0.19443798692146508,1
POMC,Cortex,74,181,-0.14710165817182905,-0.4010604275619286,0.1069696402332012,0.5080300677951298,0.34148068555159966,0.0411153078997749,1
POMC,Caudate,63,183,-0.19518600159079624,-0.4096550247847758,0.03726609400592165,0.4469211187906974,0.34481750710526465,0.21422813572717336,1
POMC,Putamen,49,156,-0.24684701179412805,-0.458156565818072,-0.02966188967437287,0.4284946761436991,0.3313053274763202,-0.0219550994722895,0
POMC,Nucleus Accumbens,64,182,-0.22535401702084015,-0.45689397742285975,0.03498199713313334,0.4918759745559931,0.3645020212548719,0.21062370879591044,1
POMC,Cerebellum,67,174,-0.4379674157249107,-0.7240880665448222,-0.15021642754984793,0.5738716389949743,0.3252907928106032,0.052993220789154194,0
POMC,Cerebellar Hemi.,58,157,-0.372298572691564,-0.5832361096141573,-0.15408396736062507,0.4291521422535322,0.333489773026737,-0.0022431578325089775,0
POMC,Substantia Nigra,38,101,-0.28435759543949735,-0.5131717547571586,-0.0471621011291236,0.466009653628035,0.34003024905575036,0.062452320644637765,0
POMC,Spinal Cord,57,102,-0.2461120621891872,-0.454809901008803,-0.03781715279927415,0.4169927482095288,0.33427679946728817,-0.012759625735350628,0
NRXN1,Hypothalamus,55,147,-0.17190989541654164,-0.4651031858674332,0.09343504201466814,0.5585382278821014,0.3263218857038936,-0.12307018346032972,1
NRXN1,Amygdala,45,107,0.08133594471701543,-0.22978415325848875,0.3716039288085247,0.6013880820670134,0.3362063276103428,-0.1261633048463004,1
NRXN1,Hippocampus,54,143,-0.08717558829356002,-0.4020392319989521,0.2198115427530313,0.6218507747519834,0.3311136226320127,-0.01985828472734481,1
NRXN1,Ant. Cing. Ctx,48,128,-0.01008364582026056,-0.3053121964114276,0.2735396444814998,0.5788518408929274,0.3341412211918722,-0.09502622458392124,1
NRXN1,Frontal Cortex,56,153,-0.19348730812344944,-0.4789828067091769,0.07515789932786877,0.5541407060370457,0.33832339175377235,-0.10943784333211301,1
NRXN1,Cortex,74,181,-0.048740785163228544,-0.21207290270286647,0.11451337446610713,0.3265862771689736,0.33336637672556907,-0.06401025781828444,1
NRXN1,Caudate,63,183,0.028337130378660647,-0.16666391598512234,0.23052508700633775,0.3971890029914601,0.32841677198802144,-0.0023440145621434266,1
NRXN1,Putamen,49,156,-0.0307270578563137,-0.2415885744078981,0.16829571032880006,0.40988428473669813,0.33931554643424194,-0.0761231937013024,1
NRXN1,Nucleus Accumbens,64,182,0.019949435101424193,-0.18537677126371988,0.22389752615275946,0.40927429741647936,0.3316102581374,-0.00945827099017955,1
NRXN1,Cerebellum,67,174,0.0069721572411183645,-0.12314830097795086,0.13516140172702093,0.2583097027049718,0.33988291855846514,-0.021997470678890123,1
NRXN1,Cerebellar Hemi.,58,157,-0.19994013061763774,-0.4368119409311003,0.012469931871803737,0.44928187280290405,0.34068172388145584,-0.17898276940946994,1
NRXN1,Substantia Nigra,38,101,0.07170573880117499,-0.23662497077464123,0.37211378144475515,0.6087387522193963,0.3351830116741979,0.045026291898104594,1
NRXN1,Spinal Cord,57,102,-0.04758120915331346,-0.2886053067792111,0.20034755096236476,0.4889528577415758,0.3541077861236526,0.08008847957791373,1
IL1B,Hypothalamus,55,147,0.17619874563707544,-0.16525424083457463,0.510522898731989,0.6757771395665636,0.32741918300437034,-0.0009692244471783515,1
IL1B,Amygdala,45,107,0.10531800712369031,-0.26566118085598905,0.5134835669521473,0.7791447478081364,0.32405876794787,0.1470105606502294,1
IL1B,Hippocampus,54,143,0.03465796692730291,-0.3015069180186767,0.3797621463480684,0.6812690643667451,0.34820611112778804,0.06885956302789716,1
IL1B,Ant. Cing. Ctx,48,128,-0.11442870332336239,-0.3696192646490694,0.14182483474251442,0.5114440993915839,0.3334864210672131,0.008462824375970148,1
IL1B,Frontal Cortex,56,153,0.28742888255746984,-0.08036486494085242,0.6653975040348694,0.7457623689757218,0.331243776844282,0.049111673035990414,1
IL1B,Cortex,74,181,0.026165061445373356,-0.21244622610310468,0.2870018843800051,0.4994481104831098,0.31486482684702455,0.08805148952414722,1
IL1B,Caudate,63,183,0.05040110209520681,-0.27203557280575963,0.3966030282180103,0.6686386010237699,0.3238799474596271,0.15990151959027663,1
IL1B,Putamen,49,156,0.03796186340064011,-0.2946981947723958,0.4095464931465581,0.7042446879189539,0.3387168805440064,0.14282421506754822,1
IL1B,Nucleus Accumbens,64,182,0.10306708957866022,-0.19419499543668572,0.4277544169668698,0.6219494124035555,0.34712400616237066,0.10537269167578182,1
IL1B,Cerebellum,67,174,0.18511028247126787,-0.004742304889173858,0.3964716356242607,0.40121394051343456,0.32046961126199264,0.1813283746975621,1
IL1B,Cerebellar Hemi.,58,157,0.18194486894103404,-0.08729368740381646,0.47642821561858306,0.5637219030223996,0.35195676671259757,0.20256750768875265,1
IL1B,Substantia Nigra,38,101,0.11454799531386457,-0.30947859634288444,0.5685414942476719,0.8780200905905563,0.3506930054577158,0.1329193256788035,1
IL1B,Spinal Cord,57,102,0.1970566382521102,-0.2544484672884633,0.653888546184599,0.9083370134730624,0.32445959289033655,-0.0027207239078141333,1
GAD1,Hypothalamus,55,147,-0.14650737991366838,-0.5875284647695849,0.29406353996627443,0.8815920047358593,0.32872300198045595,-0.05615588748222237,1
GAD1,Amygdala,45,107,0.0009866624855737886,-0.44161020866407485,0.44041139285292874,0.8820216015170036,0.32314567412096384,-0.025386768797123264,1
GAD1,Hippocampus,54,143,-0.14791771137348028,-0.5932290529626938,0.2850347401480614,0.8782637931107552,0.3434623156300102,-0.04000091576684613,1
GAD1,Ant. Cing. Ctx,48,128,-0.1056517353759449,-0.5578967512433737,0.3187473387401247,0.8766440899834984,0.33107980771315443,-0.17690822944774384,1
